,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
3,10/5/2017 9:28 AM,5478 Greenwood,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
4,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017,No field interviews for 10/10/2017
0,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017,No field interviews for 10/11/2017
1,10/12/2017 9:26 AM,1554 E 55th,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,Yes
2,10/12/2017 9:44 PM,1101 E 58th,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017,No field interviews for 10/13/2017
4,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017,No field interviews for 10/14/2017
0,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017,No field interviews for 10/15/2017
1,10/17/2017 12:59 PM,5811 S Ellis,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
2,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017,No field interviews for 10/18/2017
3,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017,No field interviews for 10/19/2017
4,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017,No field interviews for 10/20/2017
0,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017,No field interviews for 10/21/2017
1,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017,No field interviews for 10/22/2017
2,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017,No field interviews for 10/23/2017
3,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017,No field interviews for 10/24/2017
4,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017,No field interviews for 10/25/2017
0,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017,No field interviews for 10/26/2017
1,10/27/2017 10:23 PM,6100 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
2,10/27/2017 10:23 PM,6100 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
3,10/27/2017 10:23 PM,6100 S Cottage Grove,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released to parent; no further actio,No
4,10/28/2017 10:57 AM,5800 Ellis,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
0,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017,No field interviews for 10/29/2017
1,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017,No field interviews for 10/30/2017
2,10/31/2017 11:00 AM,6300 S Blackstone,Citizen request for UCPD Response,African American,Male,Fit description of offender,Name checked; released to high school; no further,No
3,10/31/2017 11:00 AM,6300 S Blackstone,Citizen request for UCPD Response,African American,Male,Fit description of offender,Name checked; released to high school; no further,No
4,11/1/2017 9:03 PM,1330 E 53rd,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
0,11/2/2017 2:18 AM,5335 S Lake Park,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
1,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017,No field interviews for 11/02/2017
2,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017,No field interviews for 11/03/2017
3,11/4/2017 8:02 AM,1050 E 59th Street,UCPD,Caucasian,Male,Suspicious person claiming to be student,Name checked; released; no further action,No
4,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017,No field interviews for 11/05/2017
0,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017,No field interviews for 11/06/2017
1,11/6/2017 5:00 PM,5900 S Ellis,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
2,11/6/2017 5:00 PM,5900 S Ellis,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
3,11/6/2017 5:00 PM,5900 S Ellis,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
4,11/6/2017 5:00 PM,5900 S Ellis,UCPD,African American,Male,Suspicious person,Name checked; released; no further action,No
0,There were no field interviews to report on 11-08-,,,,,,,
1,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017,No field interviews for 11/09/2017
2,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017,No field interviews for 11/10/2017
3,11/11/2017 6:32 PM,5712 S Kenwood,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; show up conducted; released,Yes
4,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017,No field interviews for 11/12/2017
0,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017,No field interviews for 11/13/2017
1,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017,No field interviews for 11/14/2017
2,11/15/2017 5:23 PM,5431 S Blackstone,UCPD,African American,Male,Subject going up to numerous doors in area of recent package thefts,Name checked; released; no further action,No
3,11/15/2017 11:26 PM,5400 S Ellis,UCPD,African American,Male,Engaged in verbal argument with friend,Name checked; released; no further action,No
4,11/15/2017 11:26 PM,5400 S Ellis,UCPD,African American,Female,Engaged in verbal argument with friend,Name checked; released; no further action,No
0,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017,No field interviews for 11/16/2017
1,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017,No field interviews for 11/17/2017
