Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5700 S University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/6/2016,4:48 PM
Midway Plaisance and Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/6/2016,7:45 PM
4926 S CORNELL,ASIAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/7/2016,10:21 AM
4936 S BLACKSTONE,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,6/7/2016,10:42 AM
5700 S COTTAGE GROVE,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/7/2016,7:03 PM
5326 Hyde Park Blvd,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal U-Turn,,Verbal Warning,No,6/9/2016,9:54 PM
5600 Hyde Park Blvd,BLACK / AFRICAN AMERICAN,MALE,Equipment,Driving without headlights with heavy pedestrian traffic,,Verbal Warning,No,6/10/2016,12:04 AM
1465 E 51st,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and no insurance,Citation issued,No,6/10/2016,11:47 AM
5500 S Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/10/2016,12:56 PM
1619 E 54th,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Obstructing traffic,Two citations issued for obstructing traffic and suspended license,Citation issued; arrested on warrant,Yes,6/12/2016,2:18 PM
5500 S Greenwood,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/12/2016,3:05 PM
Midway and Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/12/2016,10:31 PM
